,name,wcont,latitude,longitude,subpop,densityB,densityK,densityC,reference,fishingB,fishingK,fishingC
214,Umatiela,NOAM,45.49,-119.94,n,10.5,4.5,7.5,"Binford 2001, Kelly 2013",40,40,40
215,Wanatchi,NOAM,47.41,-120.31,n,50.170000000000002,NA,50.17,Binford 2001,55,NA,55
216,Yakima,NOAM,46.33,-120.27,n,27,NA,27,Binford 2001,45,NA,45
217,Wishram,NOAM,45.72,-121.13,n,231.69999999999999,NA,231.7,Binford 2001,60,NA,60
218,Coeur_Dalene,NOAM,47.42,-116.34,n,1.5,1.5,1.5,"Binford 2001, Kelly 2013",NA,NA,NA
219,Sinkaietk,NOAM,48.78,-119.56,n,14.51,NA,14.51,Binford 2001,60,NA,60
220,Okanagon,NOAM,49.46,-119.63,n,13.27,NA,13.27,Binford 2001,45,NA,45
221,Sanpoil,NOAM,47.94,-118.44,n,11.199999999999999,38,24.6,"Binford 2001, Kelly 2013",40,50,45
222,Nez_Perce,NOAM,46.25,-116.46,n,8.8800000000000008,8.9000000000000004,8.89,"Binford 2001, Kelly 2013",52,40,46
223,Thompson,NOAM,51.26,-121.75,n,33.200000000000003,33.200000000000003,33.2,"Binford 2001, Kelly 2013",55,NA,55
224,Kalispel,NOAM,47.94,-115.67,n,1.5,NA,1.5,Binford 2001,45,NA,45
225,East_Ojibwa_Kitchibuan,NOAM,45.21,-85.105,n,5,NA,5,Binford 2001,NA,NA,NA
226,Katikitegon_Lac_Vieux,NOAM,45,-91,n,3.0899999999999999,NA,3.09,Binford 2001,40,NA,40
227,Micmac_(Souriquois),NOAM,46.99,-65,n,4.3200000000000003,2.2999999999999998,3.31,"Binford 2001, Kelly 2013",35,40,37.5
228,Flathead,NOAM,46.28,-113.26,n,1.5,NA,1.5,"Binford 2001, Kelly 2013",20,30,25
229,Rainy_River-(Emo_Ojibw),NOAM,45.21,-85.1,n,1.21,NA,1.21,Binford 2001,30,NA,30
230,North_Saulteaux-Berens,NOAM,52.28,-96.78,n,1.2,NA,1.2,Binford 2001,30,NA,30
231,Shuswap-(Southeastern),NOAM,53.41,-119.53,n,12.4,9.75,11.075,"Binford 2001, Kelly 2013",55,40,47.5
232,Pekangekum-Ojibwa,NOAM,51.84,-93.85,n,3.0800000000000001,3.2000000000000002,3.14,"Binford 2001, Kelly 2013",30,NA,30
233,Round_Lake_Ojibwa,NOAM,52.71,-90.62,n,1.75,1.7000000000000002,1.725,"Binford 2001, Kelly 2013",20,NA,20
234,Alcatcho,NOAM,51.32,-124.02,n,7.5,NA,7.5,Binford 2001,35,NA,35
235,Ojibwa-Nipigon,NOAM,49.34,-88.31,n,0.87,NA,0.87,Binford 2001,35,NA,35
236,Mistassini_Cree,NOAM,51.75,-72.66,n,0.58000000000000007,NA,0.58,"Binford 2001, Kelly 2013",25.1,30,27.55
